Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides LG1	Peptides LG2	Razor + unique peptides LG1	Razor + unique peptides LG2	Unique peptides LG1	Unique peptides LG2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Identification type LG1	Identification type LG2	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/L LG1	Ratio H/L LG2	Ratio H/L normalized LG1	Ratio H/L normalized LG2	Ratio H/L variability [%] LG1	Ratio H/L variability [%] LG2	Ratio H/L count LG1	Ratio H/L count LG2	Ratio H/L iso-count LG1	Ratio H/L iso-count LG2	Ratio H/L type LG1	Ratio H/L type LG2	Sequence coverage LG1 [%]	Sequence coverage LG2 [%]	Intensity	Intensity L	Intensity H	Intensity LG1	Intensity L LG1	Intensity H LG1	Intensity LG2	Intensity L LG2	Intensity H LG2	iBAQ	iBAQ L	iBAQ H	iBAQ LG1	iBAQ L LG1	iBAQ H LG1	iBAQ LG2	iBAQ L LG2	iBAQ H LG2	LFQ intensity L LG1	LFQ intensity H LG1	LFQ intensity L LG2	LFQ intensity H LG2	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Tb927.11.10910:mRNA-p1;Tb927.11.10790:mRNA-p1	Tb927.11.10910:mRNA-p1;Tb927.11.10790:mRNA-p1	5;5	5;5	5;5	Tb927.11.10910:mRNA-p1 | transcript=Tb927.11.10910:mRNA | gene=Tb927.11.10910 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=40S ribosomal protein SA, putative | transcript_product=40S ribosomal protein SA, putative | location=Tb927_11_v5.1:29	2	5	5	5	4	3	4	3	4	3	23	23	23	27.609	244	244;244	1	7	0	35.129	By MS/MS	By MS/MS	0.094701	0.19865	94.82	7	5	Median	0.059963	0.18567	0.10328	0.5467	41.957	62.729	4	3	2	3	Median	Median	20.1	13.1	1576400	1441500	134880	1168100	1085100	82954	408280	356350	51931	112600	102960	9634.6	83436	77510	5925.3	29163	25453	3709.4	3619700	373850	339380	314420				93	247;482;832;861;875	True;True;True;True;True	275;541;927;959;973	430;906;1528;1582;1583;1605;1606	704;1478;2535;2606;2607;2640;2641	704;1478;2535;2606;2640	88	24
Tb927.11.10800:mRNA-p1	Tb927.11.10800:mRNA-p1	2	2	2	Tb927.11.10800:mRNA-p1 | transcript=Tb927.11.10800:mRNA | gene=Tb927.11.10800 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Domain of unknown function (DUF4496), putative | transcript_product=Domain of unknown function (DUF4496), putative | l	1	2	2	2	0	2	0	2	0	2	7.6	7.6	7.6	29.847	262	262	1	2	0	14.201		By MS/MS	0.40651	1.1063	6.6187	2	1	Median	NaN	0.40651	NaN	1.1063	NaN	6.6187	0	2	0	1	Median	Median	0	7.6	148070	95243	52827	0	0	0	148070	95243	52827	9254.3	5952.7	3301.7	0	0	0	9254.3	5952.7	3301.7	0	0	156510	173150				94	245;767	True;True	273;857	428;1420	702;2351;2352	702;2352		
Tb927.11.11010:mRNA-p1	Tb927.11.11010:mRNA-p1	6	6	6	Tb927.11.11010:mRNA-p1 | transcript=Tb927.11.11010:mRNA | gene=Tb927.11.11010 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_11_v5.1:2943505-	1	6	6	6	0	6	0	6	0	6	19	19	19	41.653	348	348	1	8	0	45.731		By MS/MS	0.42186	1.45	6.3804	8	1	Leave out requantified	NaN	0.42186	NaN	1.45	NaN	6.3804	0	8	0	1	Median	Leave out requantified	0	19	2339200	1571900	767320	0	0	0	2339200	1571900	767320	123120	82732	40385	0	0	0	123120	82732	40385	0	0	1918200	2781400				95	19;20;95;562;612;613	True;True;True;True;True;True	21;22;101;635;691;692;693	31;32;167;1049;1151;1152;1153;1154	48;49;50;276;277;278;279;1707;1874;1875;1876;1877;1878;1879;1880;1881;1882	49;50;278;1707;1877;1882	89	13
Tb927.11.11370:mRNA-p1;Tb927.11.11360:mRNA-p1	Tb927.11.11370:mRNA-p1;Tb927.11.11360:mRNA-p1	2;2	2;2	2;2	Tb927.11.11370:mRNA-p1 | transcript=Tb927.11.11370:mRNA | gene=Tb927.11.11370 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=receptor for activated C kinase 1 | transcript_product=receptor for activated C kinase 1 | location=Tb927_11_v5.1:3037	2	2	2	2	2	0	2	0	2	0	7.5	7.5	7.5	34.69	318	318;318	1	2	0	12.744	By MS/MS		0.17255	0.32026	26.185	2	2	Median	0.17255	NaN	0.32026	NaN	26.185	NaN	2	0	2	0	Median	Median	7.5	0	227660	192940	34713	227660	192940	34713	0	0	0	11982	10155	1827	11982	10155	1827	0	0	0	539570	172800	0	0				96	83;153	True;True	88;171	145;265	238;423	238;423		
Tb927.11.11520:mRNA-p1	Tb927.11.11520:mRNA-p1	4	4	4	Tb927.11.11520:mRNA-p1 | transcript=Tb927.11.11520:mRNA | gene=Tb927.11.11520 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=glycosomal membrane protein | transcript_product=glycosomal membrane protein | location=Tb927_11_v5.1:3086741-3087397(	1	4	4	4	3	3	3	3	3	3	16.1	16.1	16.1	24.027	218	218	1	6	0	26.219	By MS/MS	By MS/MS	0.35998	0.78729	14.54	5	0	Leave out requantified	0.40079	0.30313	0.7613	0.88971	9.0048	8.7159	3	2	0	0	Leave out requantified	Median	12.8	12.8	719560	492820	226750	426140	296260	129890	293420	196560	96860	55351	37909	17442	32780	22789	9991.2	22571	15120	7450.8	853390	649690	0	0				97	31;50;484;945	True;True;True;True	33;52;543;1048	49;76;77;909;910;1722	72;117;118;119;1482;1483;2812	72;118;1483;2812		
Tb927.11.11680:mRNA-p1	Tb927.11.11680:mRNA-p1	3	3	3	Tb927.11.11680:mRNA-p1 | transcript=Tb927.11.11680:mRNA | gene=Tb927.11.11680 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=2-oxoglutarate dehydrogenase E2 component, putative | transcript_product=2-oxoglutarate dehydrogenase E2 component, pu	1	3	3	3	3	1	3	1	3	1	11.7	11.7	11.7	41.143	383	383	1	4	0	25.121	By MS/MS	By MS/MS	0.067315	0.13288	48.965	4	4	Median	0.056974	NaN	0.11163	NaN	21.255	NaN	3	1	3	1	Median	Median	11.7	3.1	1008500	934560	73907	810880	765220	45662	197580	169330	28245	56026	51920	4105.9	45049	42512	2536.8	10977	9407.5	1569.2	2087400	233020	0	0				98	76;156;472	True;True;True	81;174;530	122;270;271;870	183;441;442;1427	183;442;1427		
Tb927.11.13050:mRNA-p1;Tb927.11.13040:mRNA-p1;Tb927.11.13030:mRNA-p1;Tb927.11.13020:mRNA-p1	Tb927.11.13050:mRNA-p1;Tb927.11.13040:mRNA-p1;Tb927.11.13030:mRNA-p1;Tb927.11.13020:mRNA-p1	1;1;1;1	1;1;1;1	1;1;1;1	Tb927.11.13050:mRNA-p1 | transcript=Tb927.11.13050:mRNA | gene=Tb927.11.13050 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=calmodulin | transcript_product=calmodulin | location=Tb927_11_v5.1:3487971-3488420(-) | protein_length=149 | sequence	4	1	1	1	0	1	0	1	0	1	7.4	7.4	7.4	16.838	149	149;149;149;149	1	1	0	6.1083		By MS/MS	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	1	Median	Median	0	7.4	136170	109680	26487	0	0	0	136170	109680	26487	15129	12186	2943	0	0	0	15129	12186	2943	0	0	105100	148880				99	521	True	583	976	1586	1586		
Tb927.11.1430:mRNA-p1	Tb927.11.1430:mRNA-p1	1	1	1	Tb927.11.1430:mRNA-p1 | transcript=Tb927.11.1430:mRNA | gene=Tb927.11.1430 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Component of motile flagella 2 | transcript_product=Component of motile flagella 2 | location=Tb927_11_v5.1:422497-424755	1	1	1	1	0	1	0	1	0	1	2.4	2.4	2.4	86.855	752	752	1	1	0	10.214		By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	0	2.4	132080	90654	41427	0	0	0	132080	90654	41427	2871.3	1970.7	900.58	0	0	0	2871.3	1970.7	900.58	0	0	86869	232850				100	757	True	847	1404	2319	2319		
Tb927.11.1450:mRNA-p1	Tb927.11.1450:mRNA-p1	3	3	3	Tb927.11.1450:mRNA-p1 | transcript=Tb927.11.1450:mRNA | gene=Tb927.11.1450 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=2-oxoglutarate dehydrogenase E1 component, putative | transcript_product=2-oxoglutarate dehydrogenase E1 component, putat	1	3	3	3	3	0	3	0	3	0	3.5	3.5	3.5	113.38	1008	1008	1	3	0	16.964	By MS/MS		0.16754	0.28942	1.5314	2	2	Median	0.16754	NaN	0.28942	NaN	1.5314	NaN	2	0	2	0	Median	Median	3.5	0	207780	185540	22236	207780	185540	22236	0	0	0	4420.8	3947.7	473.1	4420.8	3947.7	473.1	0	0	0	471260	136390	0	0				101	162;377;503	True;True;True	183;424;564	284;672;949	462;1136;1552	462;1136;1552		
Tb927.11.14780:mRNA-p1	Tb927.11.14780:mRNA-p1	4	4	4	Tb927.11.14780:mRNA-p1 | transcript=Tb927.11.14780:mRNA | gene=Tb927.11.14780 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=phosphomannose isomerase | transcript_product=phosphomannose isomerase | location=Tb927_11_v5.1:3929891-3931120(-) | p	1	4	4	4	1	4	1	4	1	4	13.4	13.4	13.4	46.482	409	409	1	5	0	25.142	By MS/MS	By MS/MS	0.38567	1.0117	17.354	5	4	Median	NaN	0.36176	NaN	1.1166	NaN	14.972	1	4	0	4	Median	Median	2.9	13.4	960710	590070	370640	105780	69183	36601	854930	520880	334040	45748	28098	17650	5037.3	3294.4	1742.9	40711	24804	15907	0	0	916120	1023000				102	168;461;745;773	True;True;True;True	189;517;834;864	291;848;1363;1364;1428	470;471;1399;2235;2236;2237;2363	470;1399;2237;2363		
Tb927.11.1540:mRNA-p1	Tb927.11.1540:mRNA-p1	1	1	1	Tb927.11.1540:mRNA-p1 | transcript=Tb927.11.1540:mRNA | gene=Tb927.11.1540 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=isovaleryl-CoA dehydrogenase | transcript_product=isovaleryl-CoA dehydrogenase | location=Tb927_11_v5.1:483186-484421(-) 	1	1	1	1	1	0	1	0	1	0	3.2	3.2	3.2	44.799	411	411	1	1	0	8.0613	By MS/MS		NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	3.2	0	36197	36197	0	36197	36197	0	0	0	0	1723.7	1723.7	0	1723.7	1723.7	0	0	0	0	55762	0	0	0				103	935	True	1037	1704	2783	2783		
Tb927.11.15900:mRNA-p1;Tb927.11.15880:mRNA-p1	Tb927.11.15900:mRNA-p1;Tb927.11.15880:mRNA-p1	3;3	3;3	3;3	Tb927.11.15900:mRNA-p1 | transcript=Tb927.11.15900:mRNA | gene=Tb927.11.15900 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=60S ribosomal protein L27, putative | transcript_product=60S ribosomal protein L27, putative | location=Tb927_11_v5.1:	2	3	3	3	3	0	3	0	3	0	18.8	18.8	18.8	15.581	133	133;133	1	3	0	21.271	By MS/MS		0.04891	0.093039	11.369	3	3	Median	0.04891	NaN	0.093039	NaN	11.369	NaN	3	0	3	0	Median	Median	18.8	0	418850	391250	27609	418850	391250	27609	0	0	0	59836	55892	3944.2	59836	55892	3944.2	0	0	0	1271300	118280	0	0				104	92;710;946	True;True;True	98;796;1049	164;1304;1723	273;2104;2813	273;2104;2813	90	86
Tb927.5.1110:mRNA-p1;Tb927.11.16280:mRNA-p1	Tb927.5.1110:mRNA-p1;Tb927.11.16280:mRNA-p1	2;2	2;2	2;2	Tb927.5.1110:mRNA-p1 | transcript=Tb927.5.1110:mRNA | gene=Tb927.5.1110 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=60S ribosomal protein L8, putative | transcript_product=60S ribosomal protein L8, putative | location=Tb927_05_v5.1:419367-4	2	2	2	2	2	0	2	0	2	0	6.9	6.9	6.9	28.314	260	260;260	1	2	0	12.301	By MS/MS		0.16816	0.31725	119.18	2	2	Median	0.16816	NaN	0.31725	NaN	119.18	NaN	2	0	2	0	Median	Median	6.9	0	274580	218440	56140	274580	218440	56140	0	0	0	21122	16803	4318.5	21122	16803	4318.5	0	0	0	733560	232720	0	0				105	55;383	True;True	57;431	89;681	141;1145	141;1145	91	165
Tb927.11.17000:mRNA-p1;Tb11.v5.0404.1-p1	Tb927.11.17000:mRNA-p1;Tb11.v5.0404.1-p1	2;1	2;1	2;1	Tb927.11.17000:mRNA-p1 | transcript=Tb927.11.17000:mRNA | gene=Tb927.11.17000 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=AIR9-like protein | transcript_product=AIR9-like protein | location=Tb927_11_v5.1:4532213-4535212(-) | protein_length=	2	2	2	2	2	0	2	0	2	0	2.8	2.8	2.8	109.72	999	999;723	1	2	0	11.302	By MS/MS		NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	2.8	0	172260	166350	5907.2	172260	166350	5907.2	0	0	0	3515.5	3394.9	120.55	3515.5	3394.9	120.55	0	0	0	256270	53380	0	0				106	602;654	True;True	680;735	1134;1224	1849;1978	1849;1978		
Tb927.11.2650:mRNA-p1	Tb927.11.2650:mRNA-p1	9	9	9	Tb927.11.2650:mRNA-p1 | transcript=Tb927.11.2650:mRNA | gene=Tb927.11.2650 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=heat shock protein 84, putative | transcript_product=heat shock protein 84, putative | location=Tb927_11_v5.1:777488-7797	1	9	9	9	9	0	9	0	9	0	15.9	15.9	15.9	84.2	753	753	1	11	0	71.148	By MS/MS		0.1103	0.21394	43.237	6	5	Median	0.1103	NaN	0.21394	NaN	43.237	NaN	6	0	5	0	Median	Median	15.9	0	856000	792330	63672	856000	792330	63672	0	0	0	18609	17225	1384.2	18609	17225	1384.2	0	0	0	1802100	385540	0	0				107	145;167;175;191;264;335;471;555;659	True;True;True;True;True;True;True;True;True	161;188;196;213;293;379;529;627;628;740	252;290;300;324;461;599;868;869;1039;1040;1231	405;469;486;529;776;1021;1022;1425;1426;1695;1696;1988	405;469;486;529;776;1021;1425;1695;1988	92	742
Tb927.11.3710:mRNA-p1	Tb927.11.3710:mRNA-p1	2	2	2	Tb927.11.3710:mRNA-p1 | transcript=Tb927.11.3710:mRNA | gene=Tb927.11.3710 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_11_v5.1:1090522-109	1	2	2	2	0	2	0	2	0	2	5	5	5	61.184	515	515	1	2	0	13.767		By MS/MS	0.43616	1.2459	3.9849	2	1	Median	NaN	0.43616	NaN	1.2459	NaN	3.9849	0	2	0	1	Median	Median	0	5	229000	160640	68354	0	0	0	229000	160640	68354	7896.5	5539.5	2357	0	0	0	7896.5	5539.5	2357	0	0	217880	271450				108	778;874	True;True	870;972	1440;1604	2383;2639	2383;2639		
Tb927.11.3980:mRNA-p1	Tb927.11.3980:mRNA-p1	6	6	6	Tb927.11.3980:mRNA-p1 | transcript=Tb927.11.3980:mRNA | gene=Tb927.11.3980 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=metallo-peptidase, Clan ME, Family M16 | transcript_product=metallo-peptidase, Clan ME, Family M16 | location=Tb927_11_v5	1	6	6	6	5	5	5	5	5	5	15.6	15.6	15.6	57.037	518	518	1	10	0	81.607	By MS/MS	By MS/MS	0.16098	0.52182	58.338	8	6	Median	0.092043	0.18105	0.17393	0.58911	18.823	8.541	3	5	3	3	Median	Median	13.5	14.1	1426800	1209300	217480	457890	420510	37385	968860	788770	180100	54875	46510	8364.6	17611	16173	1437.9	37264	30337	6926.7	1030200	179180	847770	1018000				109	13;52;75;219;723;932	True;True;True;True;True;True	15;54;80;246;810;1033	22;23;80;120;121;379;380;1326;1327;1698	32;33;122;179;180;181;182;630;631;632;2163;2164;2165;2767;2768	33;122;181;631;2165;2768		
Tb927.11.4880:mRNA-p1	Tb927.11.4880:mRNA-p1	4	4	4	Tb927.11.4880:mRNA-p1 | transcript=Tb927.11.4880:mRNA | gene=Tb927.11.4880 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Calmodulin-binding, putative | transcript_product=Calmodulin-binding, putative | location=Tb927_11_v5.1:1397126-1397950(+	1	4	4	4	0	4	0	4	0	4	17.5	17.5	17.5	30.214	274	274	1	7	0	58.711		By MS/MS	0.42572	1.1185	12.34	6	3	Leave out requantified	NaN	0.42572	NaN	1.1185	NaN	12.34	0	6	0	3	Median	Leave out requantified	0	17.5	869820	601040	268780	0	0	0	869820	601040	268780	72485	50087	22398	0	0	0	72485	50087	22398	0	0	681450	762210				110	190;507;608;919	True;True;True;True	211;212;568;687;1020	321;322;323;954;1145;1146;1680	525;526;527;528;1559;1863;1864;2747	526;1559;1864;2747	93	259
Tb927.11.4920:mRNA-p1	Tb927.11.4920:mRNA-p1	2	2	2	Tb927.11.4920:mRNA-p1 | transcript=Tb927.11.4920:mRNA | gene=Tb927.11.4920 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_11_v5.1:1405656-140	1	2	2	2	0	2	0	2	0	2	8.5	8.5	8.5	30.707	272	272	1	2	0	14.258		By MS/MS	0.89428	2.743	98.472	2	1	Median	NaN	0.89428	NaN	2.743	NaN	98.472	0	2	0	1	Median	Median	0	8.5	377890	177010	200880	0	0	0	377890	177010	200880	20994	9834.1	11160	0	0	0	20994	9834.1	11160	0	0	264240	724800				111	741;825	True;True	829;920	1354;1511	2214;2215;2216;2217;2500	2216;2500		
Tb927.11.5520:mRNA-p1	Tb927.11.5520:mRNA-p1	10	10	10	Tb927.11.5520:mRNA-p1 | transcript=Tb927.11.5520:mRNA | gene=Tb927.11.5520 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=triosephosphate isomerase | transcript_product=triosephosphate isomerase | location=Tb927_11_v5.1:1567338-1568090(+) | pr	1	10	10	10	10	10	10	10	10	10	54	54	54	26.819	250	250	1	29	0	93.273	By MS/MS	By MS/MS	0.46293	1.2179	20.997	28	3	Leave out requantified	0.68573	0.30695	1.3219	1.1273	7.2706	36.747	12	16	0	3	Leave out requantified	Leave out requantified	54	54	27655000	19665000	7989600	7573300	4461300	3112000	20081000	15204000	4877600	2127300	1512700	614590	582560	343170	239380	1544700	1169500	375200	12581000	16632000	14594000	27724000				112	100;155;254;370;389;667;691;737;826;900	True;True;True;True;True;True;True;True;True;True	106;173;282;417;437;748;776;825;921;1001	174;175;268;269;444;445;656;657;687;688;1240;1241;1276;1277;1348;1349;1512;1513;1514;1515;1516;1517;1518;1519;1520;1650;1651;1652;1653	288;289;290;431;432;433;434;435;436;437;438;439;440;733;734;735;736;737;738;1102;1103;1104;1105;1106;1107;1108;1109;1110;1111;1153;1154;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2052;2053;2054;2055;2056;2057;2058;2059;2198;2199;2200;2201;2202;2501;2502;2503;2504;2505;2506;2507;2508;2509;2510;2511;2512;2513;2514;2515;2516;2517;2518;2519;2699;2700;2701;2702;2703;2704	289;435;736;1109;1153;2002;2056;2201;2518;2700		
Tb927.3.4360:mRNA-p1;Tb927.11.6140:mRNA-p1	Tb927.3.4360:mRNA-p1;Tb927.11.6140:mRNA-p1	3;3	3;3	3;3	Tb927.3.4360:mRNA-p1 | transcript=Tb927.3.4360:mRNA | gene=Tb927.3.4360 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=40S ribosomal protein S15A, putative | transcript_product=40S ribosomal protein S15A, putative | location=Tb927_03_v5.1:1223	2	3	3	3	3	0	3	0	3	0	23.8	23.8	23.8	14.645	130	130;130	1	3	0	16.999	By MS/MS		0.12854	0.24398	63.85	3	2	Median	0.12854	NaN	0.24398	NaN	63.85	NaN	3	0	2	0	Median	Median	23.8	0	275780	237890	37893	275780	237890	37893	0	0	0	39398	33984	5413.3	39398	33984	5413.3	0	0	0	731120	178380	0	0				113	342;416;634	True;True;True	386;468;714	613;747;1186	1036;1252;1927	1036;1252;1927		
Tb927.11.6200:mRNA-p1;Tb927.11.6180:mRNA-p1	Tb927.11.6200:mRNA-p1;Tb927.11.6180:mRNA-p1	1;1	1;1	1;1	Tb927.11.6200:mRNA-p1 | transcript=Tb927.11.6200:mRNA | gene=Tb927.11.6200 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=60S ribosomal protein L28, putative | transcript_product=60S ribosomal protein L28, putative | location=Tb927_11_v5.1:174	2	1	1	1	1	0	1	0	1	0	9.6	9.6	9.6	16.861	146	146;146	1	1	0	6.5387	By MS/MS		NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	0	1	0	Median	Median	9.6	0	81647	70285	11362	81647	70285	11362	0	0	0	13608	11714	1893.6	13608	11714	1893.6	0	0	0	108280	102670	0	0				114	518	True	580	972	1579	1579		
Tb927.11.6250:mRNA-p1	Tb927.11.6250:mRNA-p1	1	1	1	Tb927.11.6250:mRNA-p1 | transcript=Tb927.11.6250:mRNA | gene=Tb927.11.6250 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Mitochondrial ATP synthase subunit, putative | transcript_product=Mitochondrial ATP synthase subunit, putative | location	1	1	1	1	0	1	0	1	0	1	4.1	4.1	4.1	27.599	269	269	1	1	0	7.333		By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	0	4.1	145560	101860	43704	0	0	0	145560	101860	43704	11197	7835.3	3361.8	0	0	0	11197	7835.3	3361.8	0	0	97605	245650				115	726	True	813	1331	2171;2172	2172		
Tb927.11.6280:mRNA-p1	Tb927.11.6280:mRNA-p1	27	27	27	Tb927.11.6280:mRNA-p1 | transcript=Tb927.11.6280:mRNA | gene=Tb927.11.6280 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=pyruvate phosphate dikinase | transcript_product=pyruvate phosphate dikinase | location=Tb927_11_v5.1:1768333-1771074(-) 	1	27	27	27	23	15	23	15	23	15	34.7	34.7	34.7	100.45	913	913	1	50	0	218.31	By MS/MS	By MS/MS	0.17513	0.41439	41.984	47	21	Leave out requantified	0.18747	0.15259	0.37153	0.49358	40.055	30.548	28	19	11	10	Leave out requantified	Leave out requantified	29.7	20.5	9732600	7825400	1907300	4537200	3673200	864000	5195500	4152200	1043300	187170	150490	36678	87253	70638	16615	99913	79850	20063	8727600	3242600	4727600	5640700				116	15;140;165;195;220;275;285;290;320;353;359;421;457;464;466;533;541;657;664;732;742;762;780;786;820;854;952	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	17;155;156;186;218;247;306;316;321;363;398;399;405;406;473;512;513;520;521;523;524;597;608;738;745;820;830;852;872;878;914;950;1055;1056	25;26;244;245;246;288;332;333;381;382;485;498;499;500;501;507;578;627;628;629;630;641;642;752;839;840;851;852;853;856;857;996;1010;1227;1228;1237;1341;1342;1355;1413;1442;1448;1501;1502;1503;1504;1568;1729;1730;1731	36;37;38;39;40;396;397;398;467;538;539;540;541;633;634;810;825;826;827;828;829;830;841;987;1052;1053;1054;1055;1056;1075;1076;1257;1390;1391;1402;1403;1404;1405;1406;1409;1410;1626;1641;1983;1984;1985;1994;2191;2192;2193;2218;2334;2385;2395;2477;2478;2479;2480;2481;2482;2589;2820;2821;2822;2823	38;396;467;540;634;810;828;841;987;1055;1075;1257;1391;1405;1410;1626;1641;1985;1994;2191;2218;2334;2385;2395;2480;2589;2821	94;95;96;97;98;99;100;101;102;103	322;347;381;405;467;480;591;669;705;853
Tb927.11.6300:mRNA-p1	Tb927.11.6300:mRNA-p1	2	2	2	Tb927.11.6300:mRNA-p1 | transcript=Tb927.11.6300:mRNA | gene=Tb927.11.6300 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=40S ribosomal protein S5, putative | transcript_product=40S ribosomal protein S5, putative | location=Tb927_11_v5.1:17723	1	2	2	2	2	1	2	1	2	1	13.7	13.7	13.7	21.386	190	190	1	3	0	12.759	By MS/MS	By MS/MS	0.1474	0.29627	106.26	3	3	Median	0.11964	NaN	0.23823	NaN	30.836	NaN	2	1	2	1	Median	Median	13.7	7.9	355970	299950	56026	215570	189080	26490	140400	110860	29536	39552	33327	6225.1	23953	21009	2943.3	15600	12318	3281.8	551760	131450	0	0				117	776;787	True;True	868;879	1437;1438;1449	2380;2381;2396	2380;2396		
Tb927.11.7500:mRNA-p1;Tb927.11.7490:mRNA-p1	Tb927.11.7500:mRNA-p1;Tb927.11.7490:mRNA-p1	1;1	1;1	1;1	Tb927.11.7500:mRNA-p1 | transcript=Tb927.11.7500:mRNA | gene=Tb927.11.7500 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Protein of unknown function (DUF423), putative | transcript_product=Protein of unknown function (DUF423), putative | loca	2	1	1	1	1	1	1	1	1	1	7.8	7.8	7.8	13.594	129	129;129	1	2	0	7.0538	By MS/MS	By MS/MS	0.33767	0.75023	4.3615	2	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	1	1	0	0	Median	Median	7.8	7.8	128940	86382	42556	62304	37288	25016	66633	49094	17539	32234	21595	10639	15576	9321.9	6254.1	16658	12273	4384.8	0	0	47044	98586				118	352	True	397	625;626	1050;1051	1051		
Tb927.11.7685:mRNA-p1;Tb927.11.7675:mRNA-p1	Tb927.11.7685:mRNA-p1;Tb927.11.7675:mRNA-p1	1;1	1;1	1;1	Tb927.11.7685:mRNA-p1 | transcript=Tb927.11.7685:mRNA | gene=Tb927.11.7685 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=ribosomal protein S10p/S20 | transcript_product=ribosomal protein S10p/S20 | location=Tb927_11_v5.1:2176931-2177284(-) | 	2	1	1	1	1	0	1	0	1	0	8.5	8.5	8.5	13.354	117	117;117	1	2	0	6.3867	By MS/MS		0.12564	0.25252	63.01	2	1	Median	0.12564	NaN	0.25252	NaN	63.01	NaN	2	0	1	0	Median	Median	8.5	0	279810	241800	38016	279810	241800	38016	0	0	0	55963	48360	7603.2	55963	48360	7603.2	0	0	0	758870	191630	0	0				119	898	True	999	1647;1648	2696;2697	2696		
Tb927.11.8030:mRNA-p1	Tb927.11.8030:mRNA-p1	1	1	1	Tb927.11.8030:mRNA-p1 | transcript=Tb927.11.8030:mRNA | gene=Tb927.11.8030 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_11_v5.1:2257349-225	1	1	1	1	0	1	0	1	0	1	3.6	3.6	3.6	46.474	417	417	1	1	0	8.8322		By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	1	0	0	Median	Median	0	3.6	77055	51976	25079	0	0	0	77055	51976	25079	3502.5	2362.6	1139.9	0	0	0	3502.5	2362.6	1139.9	0	0	49806	140960				120	47	True	49	73	111	111		
